ID,group,condition,rt21,rt22,rt23,rt24,rt25,ERP21,ERP22,ERP23,ERP24,ERP25
3,1,1,2.01119999999999,2.20783529411764,2.17531111111112,1.97544285714286,1.79627272727273,-0.258697704960188,-0.225694464544187,0.31925013373935,0.0278481112153193,0.470904656962287
4,1,1,1.4958,1.16650000000001,1.37370769230769,1.13062857142857,1.13300487804878,1.67240914328735,-0.55973359730166,-0.513810258708265,-0.172872491530379,-0.0302305132088114
5,1,1,1.78907692307692,1.31985714285714,1.61900000000001,1.47955555555555,1.25423636363636,-0.198814100023851,-0.0191958417898238,0.533284277955053,0.954689969432133,0.583840621224964
6,1,1,1.45546666666668,1.10077647058824,1.20060000000001,1.10322222222223,1.12052000000001,-0.473114330251216,0.866345004514435,0.700018048034139,0.114745321309844,-0.372877204393471
7,1,1,1.93176666666665,1.78687142857143,1.63268235294119,1.65652222222222,1.47319565217391,-0.264780543962885,0.0902428253958407,-0.0924804339608498,-0.370243582875578,-0.0798218216919434
8,1,1,2.22347272727272,2.12858333333333,1.81901666666666,1.68672727272727,1.60816,-0.150840162224025,0.535531126401674,0.0365644247825885,-0.0963386726108011,-0.251403954504203
10,1,1,1.44084444444445,1.65322222222223,1.66104444444444,1.66302222222222,1.69948181818181,-0.00237400394004333,0.261022384409959,-0.397502862316014,0.179538877080915,0.275464904983768
13,1,1,1.513,1.47664444444444,1.39350909090907,1.38186153846154,1.38252258064517,0.317061170002335,-0.526739221853693,-0.712726607418122,NaN,0.308630160445437
14,1,1,2.68780000000002,2.6812923076923,2.38347692307693,2.74047142857141,2.43795238095238,-0.326733648615382,-0.32453611158597,-0.0771534916756447,0.179273747650219,-0.0409229392588258
18,1,1,1.0187,0.983888888888887,0.919035294117644,0.87723529411764,0.766363636363633,-0.246310077439405,0.151758651974883,0.771976188839312,-0.287500535917931,0.401765269995899
19,1,1,1.79104999999999,1.78866666666667,1.57241333333334,1.38524444444444,1.31288260869565,-0.7412541553457,-0.143290621605967,-0.0630204836726434,0.183352118879664,-0.0602953232127419
20,1,1,1.90857777777777,1.84236249999999,1.88743529411765,1.73335,1.83803333333333,-0.515666694495764,1.55086897117255,0.998369074465057,-0.198430271045039,-0.407103955668593
